total_position_B_60,total_position_A_60,total_xp_B_60,total_xp_A_60,total_level_B_60,total_level_A_60,total_goldEarned_B_60,total_goldEarned_A_60,total_minionsKilled_B_60,total_minionsKilled_A_60,CHAMPION_KILL_B_60,CHAMPION_KILL_A_60,WARD_PLACED_B_60,WARD_PLACED_A_60,WARD_KILL_B_60,WARD_KILL_A_60,BUILDING_KILL_B_60,BUILDING_KILL_A_60,ELITE_MONSTER_KILL_B_60,ELITE_MONSTER_KILL_A_60,ITEM_PURCHASED_B_60,ITEM_PURCHASED_A_60,ITEM_SOLD_B_60,ITEM_SOLD_A_60,ITEM_DESTROYED_B_60,ITEM_DESTROYED_A_60,ITEM_UNDO_B_60,ITEM_UNDO_A_60,SKILL_LEVEL_UP_B_60,SKILL_LEVEL_UP_A_60,win,gameDuration,gameDuration_targetlabel
,,68112.0,77653.0,73.0,80.0,55900.0,66607.0,757.0,882.0,26.0,34.0,64.0,66.0,13.0,23.0,2.0,13.0,1.0,6.0,102.0,121.0,5.0,7.0,71.0,62.0,1.0,7.0,74.0,80.0,True,34.0,2
,,83006.0,70371.0,82.0,75.0,68335.0,53968.0,840.0,613.0,47.0,30.0,167.0,418.0,13.0,19.0,12.0,1.0,4.0,0.0,102.0,111.0,4.0,6.0,53.0,51.0,3.0,9.0,80.0,75.0,False,34.0,2
126019.0,113439.0,66071.0,72653.0,73.0,77.0,53479.0,62106.0,843.0,766.0,23.0,34.0,44.0,201.0,17.0,13.0,1.0,7.0,1.0,5.0,91.0,119.0,8.0,5.0,41.0,63.0,6.0,3.0,73.0,77.0,True,32.0,2
,,,30738.0,,46.0,,26788.0,,,,,,,,,,,,,,,,,,,,,,,False,25.0,1
,,57998.0,47464.0,69.0,61.0,52349.0,35797.0,718.0,469.0,30.0,15.0,44.0,34.0,9.0,7.0,10.0,0.0,4.0,0.0,92.0,79.0,3.0,1.0,42.0,37.0,8.0,2.0,69.0,58.0,False,24.0,1
,,,56581.0,,67.0,,45364.0,,,,,,,,,,,,,,,,,,,,,,,True,36.0,2
,,50543.0,59036.0,63.0,69.0,42724.0,54532.0,474.0,611.0,24.0,40.0,36.0,28.0,1.0,6.0,1.0,10.0,0.0,3.0,104.0,87.0,3.0,2.0,61.0,36.0,2.0,2.0,61.0,70.0,True,25.0,1
,,50251.0,37533.0,63.0,53.0,45005.0,35033.0,585.0,501.0,31.0,10.0,43.0,35.0,14.0,7.0,10.0,2.0,2.0,1.0,87.0,79.0,1.0,2.0,56.0,38.0,1.0,0.0,63.0,53.0,False,22.0,1
,,,44455.0,,58.0,,36020.0,,350.0,,,,,,,,,,,,,,,,,,,,,True,27.0,1
,,64908.0,55832.0,72.0,67.0,58269.0,47655.0,683.0,575.0,41.0,28.0,50.0,27.0,8.0,8.0,12.0,3.0,5.0,0.0,90.0,112.0,3.0,6.0,49.0,63.0,1.0,6.0,71.0,69.0,False,26.0,1
110959.0,128273.0,49511.0,60142.0,62.0,69.0,41104.0,54941.0,569.0,533.0,18.0,49.0,34.0,50.0,4.0,6.0,1.0,7.0,0.0,2.0,87.0,95.0,4.0,1.0,45.0,41.0,3.0,6.0,62.0,69.0,True,26.0,1
,97016.0,,23370.0,,41.0,,22447.0,,184.0,,,,,,,,,,,,,,,,,,,,,True,15.0,0
15700.0,26475.0,64675.0,54760.0,72.0,66.0,50990.0,44083.0,707.0,688.0,21.0,13.0,46.0,61.0,5.0,6.0,6.0,3.0,2.0,4.0,93.0,85.0,4.0,6.0,58.0,40.0,8.0,4.0,72.0,68.0,False,29.0,1
,,,32308.0,,49.0,,26463.0,,,,,,,,,,,,,,,,,,,,,,,True,20.0,1
,,19005.0,42903.0,35.0,57.0,13544.0,41898.0,27.0,363.0,3.0,63.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,1.0,25.0,37.0,0.0,0.0,20.0,16.0,0.0,1.0,35.0,56.0,True,15.0,0
,,,33319.0,,49.0,,28580.0,,328.0,,,,,,,,,,,,,,,,,,,,,True,24.0,1
,,46545.0,62022.0,60.0,72.0,37616.0,54982.0,488.0,651.0,17.0,45.0,37.0,30.0,2.0,8.0,1.0,10.0,1.0,3.0,82.0,89.0,9.0,2.0,33.0,44.0,3.0,8.0,59.0,70.0,True,26.0,1
,42836.0,,25958.0,,44.0,,20390.0,,197.0,,,,,,,,,,,,,,,,,,,,,False,20.0,1
,92523.0,,36343.0,,52.0,,27185.0,,220.0,,,,,,,,,,,,,,,,,,,,,True,26.0,1
,49520.0,,36258.0,,51.0,,27803.0,,277.0,,,,,,,,,,,,,,,,,,,,,False,25.0,1
,,,69528.0,,75.0,,47060.0,,,,,,,,,,,,,,,,,,,,,,,False,38.0,2
,,,63856.0,,71.0,,47501.0,,,,,,,,,,,,,,,,,,,,,,,False,38.0,2
,,,53623.0,,64.0,,38498.0,,,,,,,,,,,,,,,,,,,,,,,False,37.0,2
131002.0,100399.0,62174.0,67621.0,71.0,74.0,53497.0,62294.0,623.0,735.0,31.0,43.0,65.0,84.0,17.0,23.0,1.0,9.0,0.0,4.0,116.0,112.0,7.0,7.0,65.0,52.0,7.0,5.0,72.0,74.0,True,30.0,2
,,,60208.0,,69.0,,42791.0,,,,,,,,,,,,,,,,,,,,,,,True,38.0,2
,,31915.0,46204.0,48.0,60.0,25833.0,48594.0,133.0,287.0,7.0,48.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,25.0,53.0,0.0,1.0,16.0,19.0,0.0,0.0,46.0,59.0,True,27.0,1
,,,53819.0,,65.0,,46644.0,,468.0,,,,,,,,,,,,,,,,,,,,,True,46.0,2
,,,38806.0,,53.0,,35492.0,,,,,,,,,,,,,,,,,,,,,,,False,31.0,2
,,,29422.0,,45.0,,26082.0,,,,,,,,,,,,,,,,,,,,,,,True,17.0,0
21192.0,25044.0,68625.0,58312.0,74.0,68.0,58148.0,46199.0,852.0,669.0,31.0,13.0,61.0,118.0,14.0,16.0,9.0,1.0,6.0,0.0,107.0,114.0,6.0,2.0,54.0,60.0,1.0,4.0,74.0,68.0,False,30.0,2
,,32153.0,43962.0,46.0,57.0,29485.0,42962.0,331.0,478.0,14.0,28.0,188.0,31.0,4.0,3.0,0.0,11.0,1.0,2.0,60.0,80.0,0.0,0.0,30.0,40.0,1.0,4.0,46.0,56.0,True,21.0,1
,,,72342.0,,76.0,,48576.0,,,,,,,,,,,,,,,,,,,,,,,False,46.0,2
,,52825.0,65155.0,64.0,73.0,48505.0,61682.0,619.0,707.0,21.0,43.0,52.0,55.0,9.0,14.0,2.0,11.0,1.0,4.0,110.0,106.0,7.0,4.0,60.0,58.0,1.0,5.0,64.0,73.0,True,29.0,1
,,60256.0,70977.0,70.0,75.0,48088.0,59410.0,645.0,691.0,22.0,41.0,54.0,107.0,15.0,11.0,3.0,6.0,1.0,5.0,99.0,121.0,6.0,6.0,65.0,61.0,5.0,6.0,70.0,75.0,True,30.0,2
16161.0,16693.0,47024.0,36247.0,60.0,52.0,45125.0,28772.0,621.0,400.0,19.0,10.0,36.0,33.0,16.0,7.0,12.0,0.0,4.0,0.0,89.0,88.0,0.0,2.0,48.0,58.0,7.0,2.0,60.0,53.0,False,21.0,1
,,41881.0,58302.0,57.0,68.0,37087.0,55201.0,413.0,593.0,19.0,47.0,32.0,31.0,4.0,3.0,0.0,10.0,2.0,3.0,97.0,90.0,1.0,5.0,58.0,47.0,0.0,2.0,59.0,68.0,True,23.0,1
121658.0,119625.0,62406.0,67068.0,70.0,74.0,48991.0,58129.0,592.0,763.0,23.0,33.0,51.0,56.0,8.0,8.0,0.0,6.0,2.0,4.0,103.0,96.0,1.0,7.0,70.0,47.0,2.0,2.0,70.0,74.0,True,31.0,2
,,64740.0,73622.0,72.0,78.0,53078.0,66919.0,600.0,795.0,29.0,47.0,77.0,63.0,6.0,11.0,1.0,10.0,0.0,5.0,111.0,104.0,4.0,8.0,51.0,65.0,3.0,4.0,72.0,79.0,True,30.0,2
,,65369.0,51174.0,72.0,63.0,55142.0,42437.0,760.0,619.0,26.0,14.0,104.0,41.0,7.0,20.0,9.0,1.0,3.0,0.0,92.0,94.0,2.0,1.0,52.0,51.0,0.0,1.0,72.0,63.0,False,30.0,2
,,51865.0,64929.0,64.0,72.0,41446.0,54919.0,612.0,594.0,11.0,36.0,29.0,48.0,3.0,9.0,4.0,10.0,1.0,4.0,69.0,94.0,2.0,5.0,34.0,48.0,3.0,4.0,64.0,71.0,True,27.0,1
